CSDUID,CSDNAME,full_time_medium_income,average_household_size,%_low_income,total_dwelling_count,dwelling_need_regular_or_minor_repair,dwelling_need_major_repair,%_in_core_housing_need_owner,%_in_core_housing_need_tenant
1001101,"Division No.  1, Subd. V",x,2,x,20,20,0,0,...
1001105,Portugal Cove South,x,2,x,40,40,0,0,...
1001113,Trepassey,63200,2,26,205,185,20,10,...
1001120,St. Shott's,x,2,x,45,45,0,0,...
1001124,"Division No.  1, Subd. U",52800,2,10,630,600,25,4,0
1001126,Cape Broyle,48800,2,14,230,220,10,0,...
1001131,Renews-Cappahayden,x,2,15,170,145,25,16,...
1001136,Fermeuse,x,2,15,135,125,10,0,0
1001140,Port Kirwan,x,2,x,x,x,x,x,x
1001144,Aquaforte,x,2,x,40,40,0,0,...
1001149,Ferryland,54400,2,16,190,170,15,0,...
1001155,"Division No.  1, Subd. W",73500,2,16,225,220,10,0,...
1001169,St. Vincent's-St. Stephen's-Peter's River,x,2,29,120,110,10,0,...
1001174,Gaskiers-Point La Haye,x,2,x,110,105,0,0,...
1001178,St. Mary's,x,2,19,155,140,10,0,...
1001181,Riverhead,x,2,x,105,95,10,0,...
1001186,Admirals Beach,x,2,x,50,50,0,0,...
1001192,St. Joseph's,x,2,x,45,45,0,0,...
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,55600,2,19,210,180,30,13,0
1001203,"Division No.  1, Subd. X",65000,2,15,265,250,10,0,0
1001207,Colinet,x,2,x,65,65,0,0,...
1001214,"Division No.  1, Subd. C",x,2,x,45,40,0,0,...
1001219,Branch,x,2,x,80,80,0,0,...
1001225,Point Lance,x,2,x,45,45,0,0,...
1001228,St. Bride's,...,2,18,180,165,10,0,0
1001234,"Division No.  1, Subd. B",63200,2,15,175,145,25,0,...
1001240,Placentia,55200,2,17,1540,1470,75,3,12
1001254,Fox Harbour,x,2,x,130,120,10,0,...
1001259,"Division No.  1, Subd. A",46400,2,20,310,295,15,0,...
1001263,Long Harbour-Mount Arlington Heights,x,2,x,105,105,0,0,...
1001267,Southern Harbour,x,2,18,135,115,20,0,...
1001270,Arnold's Cove,67000,2,15,435,420,10,0,25
1001274,Come By Chance,x,2,x,75,75,0,0,...
1001277,Sunnyside,57600,2,17,210,215,0,8,0
1001281,Chance Cove,x,2,x,115,105,15,15,...
1001285,Norman's Cove-Long Cove,41200,2,20,285,260,25,0,0
1001289,Chapel Arm,97000,2,13,210,195,20,0,...
1001293,"Division No.  1, Subd. Y",59200,2,17,530,505,25,0,33
1001298,Whitbourne,53600,2,13,420,375,45,9,33
1001304,"Division No.  1, Subd. E",47200,2,20,1260,1190,65,2,17
1001308,Whiteway,53600,2,15,135,135,0,0,...
1001312,Heart's Delight-Islington,41600,2,22,315,305,15,0,0
1001316,Heart's Desire,x,2,x,85,70,15,0,...
1001321,"Division No.  1, Subd. F",70000,2,19,225,225,0,0,...
1001325,Heart's Content,x,2,18,170,150,15,0,...
1001328,New Perlican,x,2,x,85,70,10,0,...
1001332,Winterton,41600,2,18,205,195,15,13,...
1001335,Hant's Harbour,49200,2,27,175,160,15,0,0
1001339,"Division No.  1, Subd. G",60000,2,22,835,780,60,6,44
1001343,Old Perlican,48800,2,13,260,240,15,0,0
1001347,Bay de Verde,66000,2,15,170,170,0,0,0
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,48400,2,24,205,175,35,0,...
1001357,"Division No.  1, Subd. H",51200,2,19,175,165,10,0,...
1001361,Salmon Cove,40400,2,20,345,325,10,0,0
1001365,Victoria,50000,2,19,705,675,30,0,26
1001370,Carbonear,54400,2,20,2095,1965,130,0,11
1001374,"Division No.  1, Subd. I",63600,3,10,125,125,0,0,...
1001375,Bryant's Cove,52400,2,20,135,135,0,0,...
1001379,Harbour Grace,52000,2,21,1305,1210,95,3,26
1001385,Upper Island Cove,48400,2,16,585,535,50,0,0
1001391,"Division No.  1, Subd. J",x,x,x,x,x,x,x,x
1001394,Bishop's Cove,x,2,18,115,110,10,0,0
1001396,Spaniard's Bay,56400,2,19,1110,1025,85,4,27
1001405,"Division No.  1, Subd. K",x,x,x,x,x,x,x,x
1001409,Bay Roberts,58000,2,15,2490,2335,150,2,27
1001415,"Division No.  1, Subd. L",52800,2,19,375,350,20,0,0
1001421,"Division No.  1, Subd. M",62000,2,16,530,495,30,3,0
1001426,North River,46800,2,14,255,250,0,0,0
1001429,Clarke's Beach,50000,2,20,600,580,20,7,15
1001434,South River,67500,2,13,285,255,25,0,0
1001437,Cupids,46400,2,19,350,325,25,0,36
1001441,"Division No.  1, Subd. N",58400,2,19,160,140,15,0,0
1001446,Brigus,45600,2,18,325,315,10,0,0
1001452,"Division No.  1, Subd. O",53600,2,17,415,400,10,0,0
1001456,Colliers,44400,2,10,285,250,35,0,0
1001461,Conception Harbour,59200,2,14,290,275,10,0,0
1001464,Avondale,52400,2,22,265,250,15,0,0
1001469,Harbour Main-Chapel's Cove-Lakeview,54000,2,9,465,450,15,0,0
1001472,Holyrood,72000,2,11,995,965,30,0,17
1001485,Conception Bay South,64500,3,8,10710,10405,310,4,24
1001490,"Division No.  1, Subd. R",x,2,37,175,140,30,16,0
1001494,Wabana,48400,2,41,955,880,75,9,8
